iteration;temperature;score
472;300,6243827549713;315942,9601680473
804;290,807032176301;316207,8155376304
1623;267,9380594300026;316553,55981192604
4001;211,22922991522236;317144,12922696816
4056;210,07060037035092;317312,4540781086
4148;208,1467180802032;317410,6926567919
4409;202,7841071102346;317628,67688578804
4418;202,60167439908264;318097,1799648287
4578;199,38568334583795;318771,6642329709
6038;258,47497193797363;318968,5013256421
6520;246,31136789842728;319104,6699359867
7261;228,71867468199096;319026,4032736286
7808;216,54318975130565;319355,20717574813
8892;194,29635527129815;319485,39250245056
10661;244,21301713389212;319926,5214707179
13593;182,1492133032406;320113,4849925355
13944;175,86637071903374;320165,5465331383
14259;170,41265435304837;320057,93450849655
14997;158,28847889256275;320039,4461319185
15190;232,91727138202762;320061,65864583955
15543;224,83832018610676;320103,5447628311
16433;205,69142660226566;320233,82232660434
17788;179,62481980138003;320993,47064697364
18272;171,1376016700878;320520,86757664575
20214;211,41506280117446;320495,0862491622
20478;205,906463175459;321054,8736849747
20675;201,88960101109132;321588,1896711792
20959;196,23631039034757;322083,3444662247
21207;191,4292633071195;322303,5068950809
22070;175,60094151447012;322633,63418372115
22207;173,21149422996425;322957,2672849119
24836;133,1664982676826;323157,2672849119
25279;191,11266245303577;323218,88863842125
25676;183,6737571280971;323224,7739906683
27314;155,92154034869247;323327,8546241121
28475;138,82957876446682;323503,44519542094
28887;133,2257514630062;323544,83666320157
31502;153,86830988426792;323672,13297681813
31554;153,0702315703309;324072,13297681813
32129;144,51654087871566;324210,5038778267
32588;138,0328465891537;324407,34097049787
35101;107,35908063045676;323912,18617545237
35654;152,38976126325508;324003,754141066
35867;149,17802518100873;324225,5062263994
36547;139,37065856028562;324204,5076358192
36884;134,7518996494327;324197,0638904672
36927;134,1736816292825;323728,56081142655
38114;119,1554754637521;324071,9751759287
38363;116,22499351510828;324008,82478641917
38664;112,7785776615851;323995,48407827015
41152;131,91781023958515;323971,30961843615
42369;116,8011590307941;323965,3820307853
42645;113,62137098499969;323882,43142927386
42996;109,70224789270254;323869,09072112484
43191;107,58367138448357;324051,8620659541
45037;89,44819694855042;324117,35498069564
45915;122,90606635953206;324109,49856460793
46629;114,4361247907916;324306,5004329897
46997;110,30121759298486;323971,27721999737
52261;97,74418967885396;324146,8677913062
