iteration;temperature;score
204;317,6934785817681;325278,5001646478
2907;242,44466485985313;325936,88111195253
3127;237,16886503612648;326136,28013304056
3688;224,2293905769638;326358,5816577943
3694;224,09488657254198;326342,74358309066
3868;220,22917151458543;326414,8151715938
4299;210,9384822672051;326949,08946037106
4565;205,40121394778845;327255,54226326785
6429;255,72969305342488;327052,7264187861
7025;240,93279120502905;327237,95495823893
7598;227,51476894852442;327120,94427013653
9045;196,86297320996314;327322,141318477
9154;194,72871293763663;327324,48397592787
10075;266,41836714304605;327983,06261969055
10343;259,37283447353315;328241,7369485356
11173;238,71309503800467;328517,7564522629
11279;236,19597468015445;328501,4831421853
11619;228,2999104998665;329350,87520330545
11935;221,19807816823143;329345,5477247971
11999;219,7868606192516;329684,1399479263
12150;216,49284671732144;330154,27503305295
12728;204,33373563935066;330419,69223911245
13437;190,34744705672495;330427,47571607516
13468;189,7582542314649;330511,7714311959
14509;170,99694836824426;330468,03255497676
14928;163,97985999983504;330328,3204764778
15349;235,85250324072496;330284,9891587273
16552;209,118401930982;329626,6082114226
17620;187,93483259688082;329567,9673469309
18065;179,75468180531908;329912,1693465928
19883;149,8723530080241;330196,4983536742
20641;208,41791584216395;330194,1556962233
21596;189,4339659968795;330323,1849886679
22507;172,93848342008974;330388,443398586
23753;152,677783988359;330530,5220257853
24333;144,07396499242193;330535,84950429364
26109;180,9612728109811;330538,1921617445
27042;164,8405067553212;330654,20625895506
30226;179,85079180878006;331226,0317627976
30301;178,50688960709132;331522,0639256794
30531;174,44788567950945;331821,65371566557
31600;156,76074131179766;332233,8294347197
33362;131,43492887502342;332228,50195621134
34926;112,40451111976593;332017,33342323324
35019;111,36394327781493;332033,60673331085
35644;156,94031817130352;332059,3238994616
40627;143,03735078971786;331996,1735099521
40810;140,4434442106377;332131,0128614534
42713;116,10504710314402;332221,1966728292
43951;102,58473801487182;332353,77323897526
45245;135,21252665052026;332307,5797048625
45403;133,092852269878;332632,483186701
47401;108,98791792260882;332367,0659806415
47630;106,52033290924804;332293,0856330526
48688;95,82566930575913;332493,0856330526
48791;94,84368172973655;332410,1350315411
49975;84,25299861602238;332539,51126923884
53109;92,3858291348295;332225,7497278849
54532;80,13129581515369;332158,0813488395
54810;77,93421683795809;332309,6761377052
55176;75,1332547377363;332411,89840925805
57656;87,95417842377736;332411,89840925805
59240;75,06902762641097;332326,47601383086
60359;100,69212321372906;332311,6318757173
60749;96,84053205444584;332341,74311836134
60792;96,42499104270138;332013,75844380684
63351;74,65314218631029;332019,0859223152
65511;90,2340569880446;332239,5694405489
65512;90,2250335823458;332321,43119168846
69501;60,545005218942244;332323,77384913934
69744;59,09142148419543;332454,34267006046
71778;72,33012461702985;332454,34267006046
71864;71,71072182444783;332642,24404685484
72454;67,60198344560769;332848,69784401805
74102;57,33028871805753;332679,72360912914
74853;53,182283700086444;332433,0002668684
77039;64,11507464265331;332328,3338167176
88055;47,94980107146234;332313,13513091975
89180;42,84757399748959;332322,02794953506
91000;53,58156325494085;332424,81624677184
91621;50,35520219962218;332447,02876069286
93496;41,74553748300787;331912,7544719156
93516;41,66212567699339;331985,9473132222
96016;48,674003144248154;331327,36866945954
97784;40,78589172793514;331118,46822261595
104113;32,49121342494676;331025,68612143706
105652;41,788747896875755;330923,4638498842
107296;35,45339062483655;330787,9561567727
110103;26,775970381211447;330779,379312667
112999;30,067819789997632;330813,24813161633
114908;24,842252771713753;330804,8440664181
117648;28,334987725831482;330739,35115167656
118376;26,345400777338245;330656,4005501651
118788;25,28197411093285;330323,9450181314
124051;22,406037469104945;330332,3490833296
129170;20,145279013685112;330339,2821343296
130486;17,66108070502517;330313,4044168219
130556;26,309448979956024;330285,1388886442
130579;26,249003763637308;330232,32213846274
131639;23,60887583673744;330029,506293981
134775;17,253362552443097;329964,2478840629
139536;16,077943464592984;329924,49628545874
142481;17,966317388335646;329919,34408495267
145047;13,899959380276826;329924,49628545874
162125;12,759307108380918;329808,56471149257
162888;11,821940381032324;329679,9752715174
165512;9,093356013544591;329355,0717896789
166064;12,908763107334337;329252,2834924421
167476;11,208801645912546;329045,8296952789
169801;8,883429657590726;329063,2934560806
172924;9,75165683344503;328969,8655027979
172972;9,704958710858508;328985,06418859574
176850;9,878717385075522;328911,8713472891
177117;9,618432878061707;328799,72058959544
183330;7,751724966772741;328783,44727951783
185449;6,271432511294318;328444,85505638865
187785;7,448094527675792;328486,74117338023
197974;6,050479405007767;328441,5351148917
200212;4,837152971642503;328303,0346677483
208627;4,692260583438898;328332,77581658156
208955;4,540843678044787;328262,64754004305
220410;3,2501000300845546;328236,8662125595
223875;3,4477903973051487;328206,0117312703
229981;2,808549456412125;328073,43516512425
235148;2,5130757937424453;327873,43516512425
243439;2,468217393921928;327689,23984412214
249016;2,1198247357933133;327547,16121692286
249346;2,0510087870577527;327398,09518393734
261768;1,9992357620231653;327375,8826700163
264534;1,5161150238947128;327333,06372869265
266890;1,7969746303938765;327316,8359626758
269421;1,3951359058869672;327315,2260171821
272683;1,5103488280841963;327307,4425402194
272983;1,4657090756026936;327249,1154979367
273709;1,3630645437592377;327128,49509019504
277637;1,3805486292353963;326968,31492463633
282825;1,2327163498828833;326944,7629978322
287640;1,1425483763905426;326920,5885379982
294601;0,8544404158084707;326866,4829206764
305874;0,622797002927399;326689,3952072608
307030;0,8322891865490457;326685,52390183357
308607;0,7108575619265475;326670,49561125395
313265;0,6692876223075476;326667,804553089
321355;0,6706877443174619;326617,85362270905
325556;0,44061992843521347;326443,5054169403
337968;0,42992722008845125;326036,0420130752
340331;0,3394423496363328;325954,0695549092
340651;0,3287516238211291;325888,5766401676
347401;0,3766811210709094;325873,37795436976
348649;0,332484338393469;325736,3891960049
349286;0,3119645536309582;325678,0621537222
352097;0,3533081521398543;325605,9905652191
355337;0,2555260668381268;325524,1288140795
377808;0,2051902567289178;325508,93012828165
382376;0,19493767691739716;325426,21791867964
